,city,state,2010 Avg Price,2013 Avg Price,2014 Avg Price,2015 Avg Price,2016 Avg Price,2017 Avg Price,2018 Avg Price,2019 Avg Price
299,Ventura,California,375475.0,409191.67,459141.67,479275.0,520750.0,541783.33,572550.0,578800.0
300,North Charleston,South Carolina,,,,143228.57,153233.33,167625.0,174125.0,179745.45
301,Lewisville,Texas,160358.33,176350.0,190583.33,212116.67,228283.33,246325.0,264525.0,271772.73
302,West Covina,California,348091.67,372341.67,425008.33,449383.33,474341.67,502333.33,546758.33,562590.91
303,Rock Hill,South Carolina,,127825.0,132633.33,140333.33,153450.0,160666.67,178491.67,193363.64
304,Bowling Green,Kentucky,131050.0,134808.33,138366.67,140033.33,145925.0,158266.67,162125.0,176536.36
305,Yakima,Washington,156641.67,158466.67,163400.0,166058.33,179216.67,198458.33,215808.33,234663.64
306,Redding,California,186166.67,198958.33,213008.33,231183.33,235208.33,255100.0,262125.0,284463.64
307,Manchester,New Hampshire,,,,,,211242.86,225491.67,231327.27
308,Saint Augustine,Florida,159808.33,165766.67,171458.33,187641.67,199741.67,215391.67,228000.0,256272.73
309,Delray Beach,Florida,,,127860.0,139925.0,156200.0,168508.33,178308.33,190454.55
310,Lowell,Massachusetts,,181408.33,186841.67,201983.33,210858.33,228716.67,248133.33,268036.36
311,Waterbury,Connecticut,96725.0,83616.67,69050.0,72100.0,79650.0,87066.67,101525.0,114427.27
312,West Palm Beach,Florida,105883.33,128458.33,138383.33,160441.67,176458.33,193333.33,208883.33,207863.64
313,Carlsbad,California,563850.0,602841.67,658600.0,680841.67,706591.67,775341.67,833166.67,832272.73
314,Elgin,Illinois,149125.0,121825.0,148033.33,163041.67,161783.33,173300.0,192875.0,205172.73
315,Santa Barbara,California,745916.67,758358.33,882450.0,893683.33,955658.33,987816.67,1039416.67,1078872.73
316,Laurel,Maryland,,246750.0,271775.0,263333.33,277266.67,297175.0,306416.67,314372.73
317,Cambridge,Massachusetts,,,,,,756980.0,778241.67,783400.0
318,West Jordan,Utah,191233.33,209216.67,215375.0,231041.67,248658.33,273950.0,300058.33,320509.09
319,Greenville,North Carolina,122391.67,125358.33,125525.0,126850.0,121550.0,124725.0,138191.67,142363.64
